Country,City
South Africa,Alexandra
South Africa,Benoni
South Africa,BLOEMFONTEIN5
South Africa,Boksburg
South Africa,Botshabelo
South Africa,CAPE TOWN5
South Africa,Durban
South Africa,Germiston
South Africa,Johannesburg
South Africa,Kathlehong
South Africa,Kempton Park
South Africa,Khayelitsa
South Africa,Kimberley
South Africa,Mangaung
South Africa,Pietermaritzburg
South Africa,Port Elizabeth
South Africa,PRETORIA5
South Africa,Roodepoort
South Africa,Soweto
South Africa,Springs
South Africa,Tembisa
South Africa,Umlazi
South Africa,Vereeniging
Mexico,Acapulco (de Juárez)
Mexico,Acayucan
Mexico,Aguascalientes
Mexico,Apizaco
Mexico,Campeche
Mexico,Cancun
Mexico,Celaya
Mexico,Chalco de Diaz Covarrubias
Mexico,Chetumal
Mexico,Chicoloapán de Juárez
Mexico,Chihuahua
Mexico,Chilpacingo (de los Bravo)
Mexico,Chimalhuacan
Mexico,Ciudad Acuña
Mexico,Ciudad Apodaca
Mexico,Ciudad de Villa de Alvárez
Mexico,Ciudad Del Carmen
Mexico,Ciudad General Escobedo
Mexico,Ciudad Juárez
Mexico,Ciudad López Mateos
Mexico,Ciudad Madero
Mexico,Ciudad Obregón
Mexico,Ciudad Santa Catarina
Mexico,Ciudad Valles
Mexico,Ciudad Victoria
Mexico,Coatzacoalcos
Mexico,Colimas
Mexico,Córdoba
Mexico,Cuauhtemoc
Mexico,Cuautitlan Izcalli
Mexico,Cuautla
Mexico,Cuernavaca
Mexico,Culiacán Rosales
Mexico,Delicias
Mexico,Durango (Victoria de Durango)
Mexico,Ecatepec (de Morelos)
Mexico,Ensenada
Mexico,Fresnillo
Mexico,Gómez Palacio
Mexico,Guadalajara
Mexico,"Guadalupe, Nuevo León"
Mexico,"Guadalupe, Zacatecas"
Mexico,Guanajuato
Mexico,Hermosillo
Mexico,Heroica Guaymas
Mexico,Heroica Nogales
Mexico,Hidalgo del Parral
Mexico,Iguala (de la Independencia)
Mexico,Irapuato
Mexico,Ixtapaluca
Mexico,Jiutepec
Mexico,Juárez
Mexico,"La Paz, Baja California Sur"
Mexico,"La Paz, Distrito Federal"
Mexico,La Piedad
Mexico,Lázaro Cárdenas
Mexico,León (de los Aldama)
Mexico,Los Mochis
Mexico,Manzanillo
Mexico,Matamoros
Mexico,Mazatlán
Mexico,Mérida
Mexico,Mexicali
Mexico,"MEXICO, CIUDAD DE"
Mexico,Minatitlán
Mexico,Monclova
Mexico,Monterrey
Mexico,Morelia
Mexico,Moroleón - Uriangato
Mexico,Naucalpan de Juárez
Mexico,Navojoa
Mexico,Netzahualcóyotl
Mexico,Nuevo Laredo
Mexico,Oaxaca de Juárez
Mexico,Ocotlán
Mexico,Orizaba
Mexico,Pachuca (de Soto)
Mexico,Piedras Negras
Mexico,Playa del Carmen
Mexico,Poza Rica de Hidalgo
Mexico,Puebla de Zaragoza
Mexico,Puerto Vallarta
Mexico,Querétaro
Mexico,Reynosa
Mexico,Rioverde - Ciudad Fernández
Mexico,Salamanca
Mexico,Saltillo
Mexico,San Cristobal de las Casas
Mexico,San Francisco Coacalco
Mexico,San Francisco del Rincón
Mexico,San Juan Bautista Tuxtepec
Mexico,San Juan del Río
Mexico,San Luis Potosí
Mexico,San Luis Rio Colorado
Mexico,San Martín Texmelucan
Mexico,San Nicolas de los Garza
Mexico,San Pedro Garza Garcia
Mexico,Soledad de Graciano Sanchez
Mexico,Tampico
Mexico,Tapachula (de Cordova y Ordoñez)
Mexico,Tecomán
Mexico,Tehuacán
Mexico,Tepic
Mexico,Tijuana
Mexico,Tlalnepantla
Mexico,Tlaquepaque
Mexico,Tlaxcala
Mexico,Toluca (de Lerdo)
Mexico,Tonala
Mexico,Torreón
Mexico,"Tula, Tula de Allende"
Mexico,"Tulancingo, Tulancingo de Bravo"
Mexico,Tuxpan
Mexico,Tuxtla Gutiérrez
Mexico,Uruapan
Mexico,Veracruz
Mexico,Villa Nicolas Romero
Mexico,Villahermosa
Mexico,Xalapa-Enriquez
Mexico,Xico
Mexico,Zacatecas
Mexico,Zamora de Hidalgo
Mexico,Zapopan
India,1 VII 2012 (ESDF)         
Argentina,Bahía Blanca-Cerri
Argentina,BUENOS AIRES19
Argentina,Catamarca
Argentina,Comodoro Rivadavia-Rada Tilly
Argentina,Concordia
Argentina,Córdoba
Argentina,Corrientes
Argentina,Formosa
Argentina,La Plata
Argentina,La Rioja
Argentina,Mar del Plata-Batán
Argentina,Mendoza
Argentina,Neuquén-Plottier
Argentina,Paraná
Argentina,Posadas
Argentina,Rawson-Trelew-Playa Unión
Argentina,Resistencia
Argentina,Río Cuarto
Argentina,Rosario
Argentina,Salta
Argentina,San Juan
Argentina,San Luis - El Chorrillo
Argentina,San Nicolás-Villa Constitución
Argentina,San Salvador de Jujuy-Palpalá
Argentina,Santa Fé
Argentina,Santa Rosa-Toay
Argentina,Santiago del Estero-La Banda
Argentina,Tucumán-Tafí Viejo20
Argentina,Ushuaia-Río Grande
